,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
States,Indicators,Units,2004,2005,2006,2007,2008,2009,2010
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,23.3,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,59.4,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,7.5,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1.1,
Taraba,Unemployment Rates by State,,13.6,3.4,14,15.2,19.9,26.8,24.7
,"Application into nigerian universities, Male",,,2488,2339,2661,3666,4589,
,"Application into nigerian universities, Female",,,920,941,1172,1566,2039,
,"Percentage of adult literacy in any language, Total",,,,,,56.7,,
,"Percentage of youth literacy in any language, Total",,,,,,76.8,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,50.6,44.6,56.7,60.9,52.2
,"Household Size, Average, Total",,,,5.3,5.4,5.3,6.4,4
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,54.3,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,29.8,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,5.4,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.4,
Yobe,Unemployment Rates by State,,10.1,8,13.6,24.4,12.8,27.3,26.2
,"Application into nigerian universities, Male",,,1998,1157,1946,2059,2317,
,"Application into nigerian universities, Female",,,548,460,570,664,728,
,"Percentage of adult literacy in any language, Total",,,,,,39.6,,
,"Percentage of youth literacy in any language, Total",,,,,,52.1,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,30.6,19.4,39.6,31.3,58.3
,"Household Size, Average, Total",,,,5.7,5.7,5.5,6.6,5.1
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,35.4,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,49.7,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,3.3,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,0.5,
Zamfara,Unemployment Rates by State,,61.3,51.1,50.8,19.1,16.4,13.3,14.5
,"Application into nigerian universities, Male",,,2144,1993,2471,2910,3087,
,"Application into nigerian universities, Female",,,366,378,433,644,604,
,"Percentage of adult literacy in any language, Total",,,,,,70.7,,
,"Percentage of youth literacy in any language, Total",,,,,,72.2,,
,"Adult Literacy in Any Language, Percent, Both Sexes",,,,17.5,30.7,70.7,82,54.7
,"Household Size, Average, Total",,,,5.2,5.7,5.5,5.5,4.9
,"Percentage Distribution of Household Livelihood Based on Income, Poor",,,,,,,37.2,
,"Percentage Distribution of Household Livelihood Based on Income, Moderate",,,,,,,43.6,
,"Percentage Distribution of Household Livelihood Based on Income, Fairly rich",,,,,,,2.8,
,"Percentage Distribution of Household Livelihood Based on Income, Rich",,,,,,,1,
